"Application id","Session id","Loan Amount","Loan Term","Loan issued","Loan missed first payment","Customer completed open banking","Customer uploaded a payslip","Customer signed contract","Customer is a homeowner"
18808923,"a6f66c9e-74c0-11ea-a8e5-069d8de3f4da",1000,12,0,0,1,0,0,0
18848975,"71489d11-75da-11ea-a8e5-069d8de3f4da",7000,30,1,0,1,1,1,0
18849326,"bd5ec027-75db-11ea-a8e5-069d8de3f4da",8000,60,1,0,1,0,1,1
18849472,"452fda42-75dc-11ea-a8e5-069d8de3f4da",6000,30,1,0,1,0,1,0
18849611,"c44b91c5-75dc-11ea-a8e5-069d8de3f4da",1500,24,0,0,0,0,0,0
18849639,"d9cb40f7-75dc-11ea-a8e5-069d8de3f4da",7000,60,1,0,1,1,1,0
18849683,"0329d17b-75dd-11ea-a8e5-069d8de3f4da",10000,54,0,0,0,0,0,1
18850248,"8191dfd2-75de-11ea-a8e5-069d8de3f4da",4000,24,0,0,0,0,1,0
18850750,"d07be8ae-75df-11ea-a8e5-069d8de3f4da",7000,36,1,0,0,0,1,1
18851135,"f1128507-75e0-11ea-a8e5-069d8de3f4da",1000,24,1,0,0,0,1,0
18851293,"7686791a-75e1-11ea-a8e5-069d8de3f4da",14000,48,0,0,0,0,0,1
18851317,"89197e5c-75e1-11ea-a8e5-069d8de3f4da",1500,12,1,0,1,1,1,0
18851500,"1c25183a-75e2-11ea-a8e5-069d8de3f4da",1000,12,0,0,0,0,0,0
18851684,"affd703d-75e2-11ea-a8e5-069d8de3f4da",5000,18,1,0,1,0,1,0
18852040,"f96da9ca-75e3-11ea-a8e5-069d8de3f4da",3000,24,0,0,0,0,0,0
18852203,"bd43848a-75e4-11ea-a8e5-069d8de3f4da",4000,24,0,0,0,0,1,0
18852204,"beb0344b-75e4-11ea-a8e5-069d8de3f4da",6000,36,0,0,0,0,0,1
18852508,"1ab78f4f-75e6-11ea-a8e5-069d8de3f4da",7500,60,1,0,0,1,1,1
18852597,"7ca36ed4-75e6-11ea-a8e5-069d8de3f4da",8000,36,1,0,0,1,1,0
18852750,"23cf3666-75e7-11ea-a8e5-069d8de3f4da",1500,36,0,0,0,0,0,0
18852801,"6388644a-75e7-11ea-a8e5-069d8de3f4da",5000,36,1,0,1,0,1,0
